SUA0000003 | Jericho | 3000.0 | +1000.0 | 4000.0 | 2021-12-06  22:10:31 | 2021-12-06
SUA0000003 | Jericho | 4000.0 | -500.0 | 3500.0 | 2021-12-06  22:10:35 | 2021-12-06
CUA0000009 | Peter | 1000.0 | +100.0 | 1100.0 | 2021-12-07  17:30:06 | 2021-12-07
CUA0000009 | Peter | 1100.0 | +300.0 | 1400.0 | 2021-12-07  17:30:17 | 2021-12-07
CUA0000009 | Peter | 1400.0 | -150.0 | 1250.0 | 2021-12-07  17:30:25 | 2021-12-07
CUA0000009 | Peter | 1250.0 | +1000.0 | 2250.0 | 2021-12-07  22:33:59 | 2021-12-07
CUA0000011 | Jessica | 4000.0 | +2500.0 | 6500.0 | 2021-12-08  23:28:29 | 2021-12-08
CUA0000011 | Jessica | 6500.0 | -3500.0 | 3000.0 | 2021-12-08  23:28:38 | 2021-12-08
CUA0000009 | Peter | 2250.0 | +1000.0 | 3250.0 | 2021-12-09  23:57:46 | 2021-12-09
CUA0000009 | Peter | 3250.0 | +50.0 | 3300.0 | 2021-12-09  23:57:57 | 2021-12-09
CUA0000009 | Peter | 3300.0 | -100.0 | 3200.0 | 2021-12-09  23:58:08 | 2021-12-09
CUA0000009 | Peter | 3200.0 | +500.0 | 3700.0 | 2021-12-10  00:38:53 | 2021-12-10
CUA0000004 | Kevin  | 4000.0 | +2000.0 | 6000.0 | 2021-12-10  13:23:15 | 2021-12-10
CUA0000004 | Kevin  | 6000.0 | -1500.0 | 4500.0 | 2021-12-10  13:26:57 | 2021-12-10
SUA0000003 | Jericho | 3500.0 | +1000.0 | 4500.0 | 2021-12-10  23:52:15 | 2021-12-10
SUA0000003 | Jericho | 4500.0 | -500.0 | 4000.0 | 2021-12-10  23:52:19 | 2021-12-10
SUA0000019 | Bintang | 2500.0 | +250.0 | 2750.0 | 2021-12-12  00:50:22 | 2021-12-12
SUA0000019 | Bintang | 2750.0 | -150.0 | 2600.0 | 2021-12-12  00:52:59 | 2021-12-12
SUA0000019 | Bintang | 2600.0 | -300.0 | 2300.0 | 2021-12-12  00:55:57 | 2021-12-12
CUA0000016 | William | 1000.0 | +1000.0 | 2000.0 | 2021-12-13  11:10:01 | 2021-12-13
CUA0000016 | William | 2000.0 | +500.0 | 2500.0 | 2021-12-13  11:10:32 | 2021-12-13
CUA0000016 | William | 2500.0 | -50.0 | 2450.0 | 2021-12-13  11:10:39 | 2021-12-13
CUA0000013 | Christian | 2500.0 | +450.0 | 2950.0 | 2021-12-13  11:11:07 | 2021-12-13
CUA0000013 | Christian | 2950.0 | -50.0 | 2900.0 | 2021-12-13  11:11:10 | 2021-12-13
SUA0000019 | Bintang | 2300.0 | +500.0 | 2800.0 | 2023-08-13  16:21:03 | 2023-08-13
SUA0000019 | Bintang | 2800.0 | -300.0 | 2500.0 | 2023-08-13  16:21:17 | 2023-08-13
